Stream,Stream no,DifficultyNumeric,Percentage,CourseName,CourseLink,CourseVideoLink,CourseGroup,Difficulty
IT,2,0,5,Java,https://www.w3schools.com/java/,https://www.youtube.com/watch?v=grEKMHGYyns,2,Easy
IT,2,1,10,Cybersecurity,https://www.coursera.org/specializations/intro-cyber-security,https://www.youtube.com/watch?v=inWWhr5tnEA,3,Medium
IT,2,2,15,HTML,https://www.w3schools.com/html/,https://www.youtube.com/watch?v=pQN-pnXPaVg,4,Hard
IT,2,1,20,MERN,https://www.geeksforgeeks.org/mern-stack/,https://www.youtube.com/watch?v=7CqJlxBYj-M,4,Medium
IT,2,1,25,Java,https://www.w3schools.com/java/,https://www.youtube.com/watch?v=grEKMHGYyns,1,Medium
IT,2,2,30,HTML,https://www.w3schools.com/html/,https://www.youtube.com/watch?v=pQN-pnXPaVg,4,Hard
IT,2,0,35,Java,https://www.w3schools.com/java/,https://www.youtube.com/watch?v=grEKMHGYyns,2,Easy
IT,2,1,40,NodeJs,https://nodejs.org/en/docs,https://www.youtube.com/watch?v=TlB_eWDSMt4,4,Medium
IT,2,1,45,Bootstrap,https://getbootstrap.com/,https://www.youtube.com/watch?v=4sosXZsdy-s,1,Medium
IT,2,0,50,Python,https://www.python.org/about/gettingstarted/,https://www.youtube.com/watch?v=_uQrJ0TkZlc,2,Easy
IT,2,2,55,CSS,https://www.w3schools.com/css/,https://www.youtube.com/watch?v=1Rs2ND1ryYc,4,Hard
IT,2,2,60,HTML,https://www.w3schools.com/html/,https://www.youtube.com/watch?v=pQN-pnXPaVg,4,Hard
IT,2,1,65,Cloud Security,https://www.nevatio.com/resources/machine-design-engineering,https://youtu.be/eBgsxlwIs9o?si=fDi1oCM4_3dVwpQk,3,Medium
IT,2,1,70,Bootstrap,https://getbootstrap.com/,https://www.youtube.com/watch?v=4sosXZsdy-s,1,Medium
IT,2,0,75,IoT,https://en.wikipedia.org/wiki/Artificial_intelligence,https://youtu.be/vpAJ0s5S2t0?si=RaDzfqxcV3Mvmxzc,1,Easy
IT,2,0,80,Blockchain,https://vemu.org/uploads/lecture_notes/01_02_2020_2078314921.pdf,https://www.youtube.com/watch?v=A74TOX803D0,0,Easy
IT,2,0,85,IoT,https://www.geeksforgeeks.org/express-js/,https://youtu.be/HD13eq_Pmp8?si=rOhiMiWVl-GFv6KV,1,Easy
IT,2,1,90,IoT,https://www.geeksforgeeks.org/digital-electronics-logic-design-tutorials/,https://youtu.be/e_J9lXnU_vs?si=plhPNTbNS2RaFPL5,1,Medium
IT,2,0,95,Big Data,https://cloud.google.com/learn/what-is-artificial-intelligence,https://youtu.be/HcOc7P5BMi4?si=FWNvGOfQ3frUlGjT,0,Easy
IT,2,0,5,Cloud Security,https://krce.ac.in/blog/thermodynamics-and-heat-transfer-core-concepts-of-mechanical-engineering/,https://youtu.be/48SUuk8e55c?si=2aVcZldjJoVpqT70,3,Easy
IT,2,1,10,Blockchain,https://www.electrical4u.com/electrical-engineering-articles/control-system/,https://youtu.be/WEghIXs8F6c?si=tGocPSUyTJ4caHDX,0,Medium
IT,2,1,15,Blockchain,https://www.w3schools.com/html/html_responsive.asp,https://youtu.be/n6Ad5TvESKs?si=bsNa0z71NRJMsQXv,0,Medium
IT,2,0,20,Big Data,https://www.geeksforgeeks.org/types-of-electric-machines/,https://youtu.be/A0BuHEqDm88?si=JkDh3T3LDT06kD_4,0,Easy
